Id_bat,Position_bat,Nickname_bat,FPPG_bat,Salary_bat,Team_bat,Batting Order,bats,Roll_PA_bat,Roll_HR_bat,Roll_GB/FB_bat,Roll_BB%_bat,Roll_K%_bat,Roll_GB%_bat,Roll_FB%_bat,Roll_ISO_bat,Roll_wRC+_bat,throws,Roll_ERA_pitch,Roll_FB%_pitch,Roll_GB%_pitch,Roll_LOB%_pitch,Roll_K%_pitch,Roll_K-BB%_pitch,Roll_ER_pitch,Roll_IP_pitch,Roll_SO_pitch,Roll_HR_pitch,Roll_x FIP_pitch,Roll_WHIP_pitch,Team_FD,1B as L,1B as R,2B as L,2B as R,3B as L,3B as R,HR as L,HR as R,Bats_L,Bats_R,Throw_L,Throw_R,Matchup
27318-5282,C,Jeff Mathis,6.0292682179999995,2300,ARI,,R,4.428571428571429,0.0,1.5714285714285714,0.056122448857142807,0.12755102028571424,0.5095238094285711,0.21190476185714274,0.1547619047142858,118.05237378285706,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,1,1,0,1
27318-80852,2B,Ildemaro Vargas,3.48333327,2000,ARI,,S,3.1428571428571432,0.0,0.7142857142857143,0.09523809514285712,0.40476190442857146,0.5238095237142857,0.3333333332857143,0.0,-34.64978153714281,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,0,1,0,0
27318-13302,OF,Kristopher Negron,3.25,2000,ARI,,R,3.7142857142857135,0.0,1.0,0.09523809514285718,0.2666666665714285,0.4404761904285715,0.4047619047142858,0.02857142857142858,15.585139107142847,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,1,1,0,1
27318-21815,OF,Socrates Brito,1.587499976,2000,ARI,,L,3.1428571428571432,0.14285714285714285,0.33333333328571424,0.047619047571428576,0.2380952378571429,0.15476190471428564,0.44047619042857145,0.10714285714285718,16.659044572857162,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,1,0,1,0,0
27318-38218,1B,Christian Walker,2.9299999239999996,2000,ARI,,R,3.571428571428572,0.0,1.2142857142857142,0.03571428571428571,0.15476190471428572,0.4761904759999999,0.3095238092857143,6.344131569286607e-17,-46.6555002914286,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,1,1,0,1
27318-14018,C,John Ryan Murphy,5.921211936000001,2000,ARI,,R,4.0,0.0,1.428571428571429,0.028571428571428564,0.4095238094285715,0.595238095,0.3095238094285713,0.03571428571428581,-10.605545694285707,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,0,1,1,0,1
27318-5456,OF,Andrew McCutchen,9.967618815,3500,SFG,,R,4.428571428571429,0.14285714285714285,1.1428571428571428,0.15714285714285728,0.18571428571428575,0.4761904758571412,0.42857142828571415,0.1214285714285719,63.82769593728579,R,2.965700000000005,0.28499420342857146,0.4332226665714284,0.8602571428571429,0.2393142857142857,0.1781857142857143,1.7142857142857142,5.828571428571429,5.857142857142858,0.42857142857142855,3.4591194397142853,1.2116571428571423,ARI,101,99,107,106,118,136,104,104,0,1,0,1,0
27318-6292,C,Buster Posey,9.135954782,3100,SFG,,R,4.142857142857143,0.0,1.2142857142857142,0.07142857142857137,0.1357142857142856,0.4166666664285713,0.3452380951428561,0.03571428571428571,52.914251179714185,R,2.965700000000005,0.28499420342857146,0.4332226665714284,0.8602571428571429,0.2393142857142857,0.1781857142857143,1.7142857142857142,5.828571428571429,5.857142857142858,0.42857142857142855,3.4591194397142853,1.2116571428571423,ARI,101,99,107,106,118,136,104,104,0,1,0,1,0
27318-12961,SS,Brandon Crawford,8.947115385,2900,SFG,,L,4.142857142857143,0.0,1.1428571428571428,0.028571428571428463,0.19285714285714295,0.4285714282857129,0.4523809521428572,0.07142857142857142,43.55315720285732,R,2.965700000000005,0.28499420342857146,0.4332226665714284,0.8602571428571429,0.2393142857142857,0.1781857142857143,1.7142857142857142,5.828571428571429,5.857142857142858,0.42857142857142855,3.4591194397142853,1.2116571428571423,ARI,101,99,107,106,118,136,104,104,1,0,0,1,1
27318-5607,3B,Evan Longoria,8.708219345,2800,SFG,,R,4.142857142857143,0.0,1.023809523714285,0.06428571428571422,0.14285714285714307,0.3666666664285714,0.4071428569999999,0.03571428571428576,65.75400970328583,R,2.965700000000005,0.28499420342857146,0.4332226665714284,0.8602571428571429,0.2393142857142857,0.1781857142857143,1.7142857142857142,5.828571428571429,5.857142857142858,0.42857142857142855,3.4591194397142853,1.2116571428571423,ARI,101,99,107,106,118,136,104,104,0,1,0,1,0
